sample_name,f__Enterobacteriaceae; ; ,f__Lactobacillaceae; g__Lactobacillus; s__,f__Staphylococcaceae; g__Staphylococcus; s__succinus,f__Streptococcaceae; g__Streptococcus; s__,f__Lactobacillaceae; g__Lactobacillus; ,f__Enterococcaceae; g__Enterococcus; ,f__Moraxellaceae; g__Acinetobacter; ,f__Lactobacillaceae; g__Lactobacillus; s__helveticus,f__Streptococcaceae; g__Streptococcus; s__agalactiae,f__Lactobacillaceae; g__Lactobacillus; s__zeae,f__Micrococcaceae; g__Micrococcus; ,f__Xanthomonadaceae; g__Stenotrophomonas; s__geniculata,f__Corynebacteriaceae; g__Corynebacterium; s__,f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,f__Lactobacillaceae; g__Lactobacillus; s__iners,Other
01GBSd0,5.88403E-05,0,0.998856816,8.40576E-06,0,0,0.000664055,0,3.36231E-05,0,0,0,0,0,0,0.000378259
01HMB,0.999434879,0,0.000489771,0,0,0,0,0,7.53494E-05,0,0,0,0,0,0,0
02GBSd0,0.00012503,0,0.999024764,0.000375091,2.5006E-05,0,0,0,0.000141701,0,0,0,0,3.33414E-05,0,0.000275066
02HMB,0.927502278,0,0,0,0,0.068788234,0.000780945,0,0,0,0.000260315,0,0,0,0,0.002668229
03GBSd0,0.022241993,0,0.252669039,0,0,0,0.044483986,0,0,0,0,0,0,0.100533808,0,0.580071174
03HMB,0.98478489,0,0,0,0,0.01521511,0,0,0,0,0,0,0,0,0,0
04GBSd0,0,0.004536082,0.020206186,0.135670103,0,0,0.039175258,0,0.004948454,0,0,0,0.005360825,0.465154639,0,0.324948454
04HMB,0,0,0,0,0,0,0,0,0.290322581,0,0,0,0,0,0,0.709677419
05GBSd0,0.997242742,0,0.000176936,0.00025066,0,2.94894E-05,0.000294894,5.89788E-05,8.84682E-05,0,0.000103213,0,0,0,0,0.001754619
05HMB,0.878703324,0,0,0,0,0.120311859,0.000533443,0,0,0,0,0,0,0,0,0.000451375
06GBSd0,2.79419E-05,8.38258E-05,0,0.177347472,0,0.809128631,0.001173561,2.79419E-05,0.000125739,0,0,0,5.58839E-05,0.000237506,0,0.011791497
06HMB,0.918714286,0,0,0,0,0.043785714,0.001214286,0,0,0,0,0.000428571,0.000214286,0,0,0.035642857
07GBSd0,5.55994E-05,0,0.000277997,0.218805947,0.001367746,6.67193E-05,0.000411436,0,0.000311357,0,0,0,0,0.000722792,0,0.777980407
07HMB,0.863315318,0,0,0,0,0.136224051,0.000214961,0,0,0,0,0,0,0,0,0.00024567
08GBSd0,4.82447E-05,1.0721E-05,0.697725531,0,1.60816E-05,0,8.04078E-05,1.0721E-05,0.301716975,0,0,2.14421E-05,0,0,0,0.000369876
08HMB,0,0,0,0,0,0,0.486842105,0,0,0,0,0.052631579,0,0,0,0.460526316
09GBSd0,0,0.012288786,0.012288786,0.164362519,0.014592934,0,0.016129032,0,0,0,0,0.002304147,0.006144393,0.11827957,0,0.653609831
09HMB,0.161290323,0,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0.516129032
10GBSd0,0.011723329,0,0.005275498,0,0,0,0.050410317,0,0.004689332,0,0,0.012309496,0,0,0,0.915592028
10HMB,0,0,0.984323854,0.002102165,0.012703084,0,0,0,0,0,0,0,6.00619E-05,0.000150155,0,0.000660681
11GBSd0,0,0,0.000135685,0.97394844,0,0,0,0,0.000361827,0,0,0,0,0,0,0.025554048
11HMB,0,0,0.89809142,0,0,0.101051358,0.000352974,0,0,0,0,0,7.56372E-05,0,7.56372E-05,0.000352974
13HMB,5.64557E-05,0,0.991305821,0,0.008637724,0,0,0,0,0,0,0,0,0,0,0
14HMB,0,0,0.795556868,0,0.000442837,0.203631264,0.000184515,0.000110709,0,0,0,0,0,0,0,7.38062E-05
15HMB,0,0,0.34375,0,0,0,0.479166667,0,0,0,0,0.041666667,0.135416667,0,0,0
16HMB,0,0.059405941,0.198019802,0,0,0,0.280528053,0.01980198,0.066006601,0,0.056105611,0,0,0,0.132013201,0.188118812
17HMB,0.037974684,0,0,0,0,0,0.563291139,0,0,0,0,0,0.113924051,0,0,0.284810127
GBS01d0,0,0,0.626865672,0,0,0,0,0,0.119402985,0,0,0,0.044776119,0,0,0.208955224
GBS02d0,0,0,0.58974359,0,0,0,0,0,0.153846154,0,0,0,0.128205128,0,0,0.128205128
GBS03d0,0,0.000204172,0.994793616,0,0.004695954,0,0,0,0.000306258,0,0,0,0,0,0,0
GBS04d0,0.999529983,0,0.000156672,0,0,0,0,0,0.00019584,0,0,0,0,0,0,0.000117504
GBS05d0,0.000566981,0,0.998299057,0,0,0,0.000206175,0,0.000257719,0,0.00041235,0,0,0,0,0.000257719
GBS06d0,0.121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878787879
GBS07d0,0.051948052,0,0.142857143,0,0,0.090909091,0,0,0.298701299,0,0,0.12987013,0,0,0,0.285714286
GBS08d0,0.106060606,0,0,0,0,0,0,0,0.060606061,0,0.136363636,0,0.136363636,0,0,0.560606061
GBS09d0,0.000891398,0,0.000445699,0.995840143,0.000297133,0,0.000445699,0,0.000297133,0,0,0,0.000594265,0,0,0.001188531
GBS10d0,0,0.028498871,0.633323928,0,0.337782167,0,0,0,0,0,0,0,0,0,0,0.000395034
GBS11d0,0,0,0.998024394,0,0,0,0,0,0,0,0.000773063,0.000601271,0,0,0,0.000601271
GBS12d0,0,0,0.541666667,0,0,0,0,0,0.3125,0,0,0,0.083333333,0,0,0.0625
GBS13d0,0.072916667,0,0.458333333,0,0,0,0.177083333,0,0.020833333,0,0.083333333,0,0,0,0,0.1875
GBS14d0,0.000810045,0,0.000270015,0.009720535,0.986229243,0,0,0.000270015,0.000945052,0,0,0,0,0,0,0.001755097
GBS15d0,0.083333333,0,0,0.166666667,0,0,0,0,0.12962963,0,0.148148148,0,0,0,0,0.472222222
GBS16d0,0.002460025,0,0,0.970479705,0,0,0,0,0.012300123,0,0,0.001845018,0,0,0,0.012915129
GBS17d0,0,0,0,0,0,0.997786314,0,0,0.000130217,0,0.000260434,0,0,0,0,0.001823035
GBS18d0,0,0,0,0,0,0.999434496,0,0,0.000125668,0,0,0,0,0,0,0.000439837
GBS19d0,0,0,0.996187364,0,0,0,0,0,0,0,0,0,0,0,0,0.003812636
GBS20d0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS21d0,0,0,0.999934431,0,0,0,0,6.55695E-05,0,0,0,0,0,0,0,0
GBS22d0,0,0,0.045456192,0.000398421,0,0.954072947,0,0,0,0,0,0,0,0,0,7.24401E-05
GBS23d0,0.000498803,0,0.996807662,0,0,0,0.000498803,0,0.000498803,0,0.000598563,0,0.000598563,0,0,0.000498803
GBS24d0,0,0,0.605993723,0,0.001655344,0.392109529,0,0,0,0,0,0,0,0,0,0.000241404
GBS25d0,0.111111111,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0.444444444
GBS26d0,0,0,0.422535211,0.028169014,0,0.018779343,0,0,0.44600939,0,0,0.009389671,0,0,0,0.075117371
GBS27d0,0.025974026,0,0.038961039,0,0,0,0,0,0.298701299,0,0.025974026,0,0,0,0,0.61038961
HMBd0m01,0.709218513,0,0.000284522,0,0.009294385,0.113144917,0.007492413,0,0.007966616,0.003888467,0,0,0,0,0,0.148710167
HMBd0m02,0.842416494,0,0.000639284,0,0,0,0.011666933,0.006073198,0,0.100527409,0,0.006712482,0,0,0,0.0319642
HMBd0m03,0.565517241,0,0,0,0,0.028571429,0.074876847,0.004926108,0,0.22134647,0,0,0,0,0,0.104761905
HMBd0m04,0.983553672,0,0.000553482,0,0,0.000142324,0.002451135,0.002150674,0,0.009345942,0,0,0,0,0,0.001802771
HMBd0m05,0.709078923,0.019212658,0.000470898,0.004991524,0,0.012808439,0.047749105,0.013467696,0,0.109907704,0,0,0.000847617,0,0,0.081465436
