sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
M14	BCM	3/17/20	2020Mch	HMB	BCM_HMB	14.28571429	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2693	M14						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl341	adult	Mus musculus	2	II
M15	BCM	3/17/20	2020Mch	HMB	BCM_HMB	13.71428571	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2716	M15						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl340	adult	Mus musculus	5	V
M16	BCM	3/17/20	2020Mch	HMB	BCM_HMB	14.28571429	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2694	M16						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl339	adult	Mus musculus	3	III
M17	BCM	3/17/20	2020Mch	HMB	BCM_HMB	13.71428571	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2717	M17						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl338	adult	Mus musculus	5	V
M18	BCM	3/17/20	2020Mch	HMB	BCM_HMB	13.71428571	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2718	M18						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl337	adult	Mus musculus	4	IV
M19	BCM	3/17/20	2020Mch	HMB	BCM_HMB	6272.428571	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2758	M19						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl336	adult	Mus musculus	3	III
M20	BCM	3/17/20	2020Mch	HMB	BCM_HMB	6272.428571	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2759	M20						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl335	adult	Mus musculus	5	V
M21	BCM	3/17/20	2020Mch	HMB	BCM_HMB	6272.428571	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2760	M21						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl334	adult	Mus musculus	4	IV
M22	BCM	3/17/20	2020Mch	HMB	BCM_HMB	8	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2780	M22						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl333	adult	Mus musculus	5	V
M23	BCM	3/17/20	2020Mch	HMB	BCM_HMB	8	weeks	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2781	M23						0	None									Longitudinal composition	BCM_TMF	reproductive system	mucus	vagina	C57/Bl332	adult	Mus musculus	5	V
repeatPatrasblankMseries	BCM	3/17/20	2020Mch			6272.428571	weeks	a	blank	blank	PBS swab	blank_blank									None									Longitudinal composition		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
GBS01d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		01a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl330	adult	Mus musculus	2	II
GBS02d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		02a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl329	adult	Mus musculus	2	II
GBS03d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		03a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl328	adult	Mus musculus	2	II
GBS04d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		04a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl327	adult	Mus musculus	3	III
GBS05d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		05a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl326	adult	Mus musculus	2	II
GBS06d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		06a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl325	adult	Mus musculus	4	IV
