sample_name	Sample_or_Control	UCSD_split	birthplace	orig_seqrunid	date_startcollection	cohort	mouse_line	site_line	house_siteline	house_siteline_split_UCSD_Jax	house_siteline_UCSDJax	house_siteline_bcmJAX	dob	host_age	host_age_units	parity	cage	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_origid	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_real_33_77	CST_char	Longitudinal_basleine	GBS_study	FPVS	estrous
M14	True Sample	none	BCM	PatrasM14	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	12/8/19	14.28571429	weeks	nulliparous	HMB_E	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2693	M14									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	1	5	V		None	none	none
M15	True Sample	none	BCM	PatrasM15	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	12/12/19	13.71428571	weeks	nulliparous	HMB_F	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2716	M15									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		None	none	none
M16	True Sample	none	BCM	PatrasM16	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	12/8/19	14.28571429	weeks	nulliparous	HMB_E	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2694	M16									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	7	3	III-a		None	none	none
M17	True Sample	none	BCM	PatrasM17	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	12/12/19	13.71428571	weeks	nulliparous	HMB_F	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2717	M17									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		None	none	none
M18	True Sample	none	BCM	PatrasM18	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	12/12/19	13.71428571	weeks	nulliparous	HMB_F	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2718	M18									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		None	none	none
M19	True Sample	none	BCM	PatrasM19	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	1/16/20	8.714285714	weeks	nulliparous	HMB_G	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2758	M19									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		None	none	none
M20	True Sample	none	BCM	PatrasM20	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	1/17/20	8.571428571	weeks	nulliparous	HMB_G	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2759	M20									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		None	none	none
M21	True Sample	none	BCM	PatrasM21	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	1/18/20	8.428571429	weeks	nulliparous	HMB_G	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2760	M21									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	3	4	IV		None	none	none
M22	True Sample	none	BCM	PatrasM22	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	1/21/20	8	weeks	nulliparous	HMB_H	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2780	M22									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		None	none	none
M23	True Sample	none	BCM	PatrasM23	3/17/20	2020Mch	HMB	BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	BCM_BCM_HMB	1/21/20	8	weeks	nulliparous	HMB_H	July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2781	M23									0	None										Longitudinal composition	BCM	BCM_TMF	TMF sE rm4	reproductive system	mucus	vagina	C57BL/6	adult	Mus musculus	4	2	II		None	none	none
