sample_name	birthplace	orig_seqrunid	date_startcollection	cohort	orig_tube	mouse_line	site_line	dob	host_age	host_age_units	breedpair	parity	cage	collection_sequence	collection_date	extraction_date	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD2	VS_clearD3	VS_clearD4	VS_clearD5	VS_clearD6	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	plate_position	CST	CST_categorical
M14	BCM	PatrasM14	3/17/20	2020Mch	M14	HMB	BCM_HMB	12/8/19	14.28571429			nulliparous	HMB_E	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2693	M14									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								2	II
M15	BCM	PatrasM15	3/17/20	2020Mch	M15	HMB	BCM_HMB	12/12/19	13.71428571			nulliparous	HMB_F	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2716	M15									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								5	V
M16	BCM	PatrasM16	3/17/20	2020Mch	M16	HMB	BCM_HMB	12/8/19	14.28571429			nulliparous	HMB_E	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2694	M16									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								3	III
M17	BCM	PatrasM17	3/17/20	2020Mch	M17	HMB	BCM_HMB	12/12/19	13.71428571			nulliparous	HMB_F	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2717	M17									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								5	V
M18	BCM	PatrasM18	3/17/20	2020Mch	M18	HMB	BCM_HMB	12/12/19	13.71428571			nulliparous	HMB_F	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2718	M18									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								4	IV
M19	BCM	PatrasM19	3/17/20	2020Mch	M19	HMB	BCM_HMB		6272.428571			nulliparous	HMB_G	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2758	M19									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								3	III
M20	BCM	PatrasM20	3/17/20	2020Mch	M20	HMB	BCM_HMB		6272.428571			nulliparous	HMB_G	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2759	M20									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								5	V
M21	BCM	PatrasM21	3/17/20	2020Mch	M21	HMB	BCM_HMB		6272.428571			nulliparous	HMB_G	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2760	M21									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								4	IV
M22	BCM	PatrasM22	3/17/20	2020Mch	M22	HMB	BCM_HMB	1/21/20	8			nulliparous	HMB_H	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2780	M22									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								5	V
M23	BCM	PatrasM23	3/17/20	2020Mch	M23	HMB	BCM_HMB	1/21/20	8			nulliparous	HMB_H	1			July202020	a	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract	2781	M23									0	None														Longitudinal composition		BCM_TMF	TMF sE rm4								5	V
repeatPatrasblankMseries	BCM		3/17/20	2020Mch					6272.428571								July202020	a	blank	blank	PBS swab	blank_blank												None														Longitudinal composition											none	none
GBS01d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		01a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
GBS02d0	BCM		8/18/20	2020Aug		HMB	BCM_HMB	2/20/20	25.71428571								January252021	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		02a									0	GBS												Colonized		HMB_GBSchallenge		BCM_Taub									2	II
