sample_name,estrous_stage
01GBSd0,blank
01HMB,blank
02GBSd0,blank
02HMB,blank
03GBSd0,blank
03HMB,blank
04GBSd0,blank
04HMB,blank
05GBSd0,blank
05HMB,blank
06GBSd0,blank
06HMB,blank
07GBSd0,blank
07HMB,blank
08GBSd0,blank
08HMB,blank
09GBSd0,blank
09HMB,blank
10GBSd0,blank
10HMB,blank
11GBSd0,blank
11HMB,blank
13HMB,blank
14HMB,blank
15HMB,blank
16HMB,blank
17HMB,blank
GBS01d0,blank
GBS02d0,blank
GBS03d0,blank
GBS04d0,blank
GBS05d0,blank
GBS06d0,blank
GBS07d0,blank
GBS08d0,blank
GBS09d0,blank
GBS10d0,blank
GBS11d0,blank
GBS12d0,blank
GBS13d0,blank
GBS14d0,blank
GBS15d0,blank
GBS16d0,blank
GBS17d0,blank
GBS18d0,blank
GBS19d0,blank
GBS20d0,blank
GBS21d0,blank
GBS22d0,blank
GBS23d0,blank
GBS24d0,blank
GBS25d0,blank
GBS26d0,blank
GBS27d0,blank
HMBd0m01,proestrus
HMBd0m02,diestrus
HMBd0m03,proestrus
HMBd0m04,proestrus
HMBd0m05,diestrus
HMBd0m06,diestrus
HMBd0m07,diestrus
HMBd0m08,diestrus
HMBd0m09,diestrus
HMBd0m10,proestrus
HMBd0m11,proestrus
HMBd0m12,proestrus
HMBd0m13,proestrus
HMBd0m14,diestrus
HMBd0m15,diestrus
HMBd0m16,proestrus
HMBd0m17,proestrus
HMBd0m18,proestrus
HMBd0m19,diestrus
HMBd0m20,metestrus
HMBd0m21,proestrus
HMBd1m04,proestrus
HMBd1m10,estrus
HMBd1m13,estrus
HMBd1m17,proestrus
HMBd1m21,diestrus
HMBd2m04,estrus
HMBd2m10,metestrus
HMBd2m13,diestrus
HMBd2m17,estrus
HMBd2m21,metestrus
HMBd3m01,proestrus
HMBd3m02,metestrus
HMBd3m03,estrus
HMBd3m04,metestrus
HMBd3m05,proestrus
HMBd3m06,proestrus
HMBd3m07,metestrus
HMBd3m08,proestrus
HMBd3m09,metestrus
HMBd3m10,proestrus
HMBd3m11,metestrus
HMBd3m12,proestrus
HMBd3m13,proestrus
HMBd3m14,diestrus
HMBd3m15,proestrus
HMBd3m16,diestrus
HMBd3m17,metestrus
HMBd3m18,diestrus
HMBd3m19,diestrus
HMBd3m20,proestrus
HMBd3m21,diestrus
HMBd4m04,diestrus
HMBd4m10,diestrus
HMBd4m13,proestrus
HMBd4m17,diestrus
HMBd4m21,diestrus
HMBd5m04,diestrus
HMBd5m10,proestrus
HMBd5m13,proestrus
HMBd5m17,proestrus
HMBd5m21,proestrus
HMBd6m01,proestrus
HMBd6m02,proestrus
HMBd6m03,proestrus
HMBd6m04,proestrus
HMBd6m05,proestrus
HMBd6m06,proestrus
HMBd6m07,proestrus
HMBd6m08,proestrus
HMBd6m09,proestrus
HMBd6m10,estrus
HMBd6m11,proestrus
HMBd6m12,proestrus
HMBd6m13,proestrus
HMBd6m14,proestrus
HMBd6m15,proestrus
HMBd6m16,diestrus
HMBd6m17,proestrus
HMBd6m18,proestrus
HMBd6m19,diestrus
HMBd6m20,proestrus
HMBd6m21,proestrus
HMBd6m22,diestrus
HMBd6m23,proestrus
HMBpt2d0m01,diestrus
HMBpt2d0m02,proestrus
HMBpt2d0m03,proestrus
HMBpt2d0m04,diestrus
HMBpt2d0m05,proestrus
HMBpt2d0m06,proestrus
HMBpt2d0m08,proestrus
HMBpt2d0m09,proestrus
HMBpt2d0m10,proestrus
HMBpt2d0m11,proestrus
HMBpt2d0m12,proestrus
HMBpt2d0m13,proestrus
HMBpt2d3m01,diestrus
HMBpt2d3m02,proestrus
HMBpt2d3m03,metestrus
HMBpt2d3m04,proestrus
HMBpt2d3m06,estrus
HMBpt2d3m08,metestrus
HMBpt2d3m09,proestrus
HMBpt2d3m10,diestrus
HMBpt2d3m11,diestrus
HMBpt2d3m12,diestrus
HMBpt2d3m13,metestrus
HMBpt2d6m01,metestrus
HMBpt2d6m02,estrus
HMBpt2d6m03,diestrus
HMBpt2d6m04,metestrus
HMBpt2d6m05,metestrus
HMBpt2d6m06,proestrus
HMBpt2d6m08,proestrus
HMBpt2d6m09,diestrus
HMBpt2d6m10,metestrus
HMBpt2d6m11,estrus
HMBpt2d6m12,proestrus
M14,blank
M15,blank
M16,blank
M17,blank
M18,blank
M19,blank
M20,blank
M21,blank
M22,blank
M23,blank
