Feature ID	Taxon	Confidence
MH551481	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574758; g__Massilia; s__Massilia atriviolacea	1.0
MJ030-1-barcode49-umi81456bins-ubs-5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__Blautia_A_141781 caecimuris	1.0
MJ020-1-barcode30-umi15194bins-ubs-23	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__WM01; s__	1.0
GB-GCA-016865485.1-AP024452.1	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__	1.0
KP844656	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae_390796; g__Luteipulveratus; s__Luteipulveratus halotolerans	1.0
G001598915	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Williamsia_B; s__Williamsia_B muralis	1.0
MJ006-2-barcode62-umi180280bins-ubs-3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A_858004; s__Phocaeicola_A_858004 vulgatus	1.0
RS-GCF-900240335.1-NZ-LT964979.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Flavimobilis_389003; s__	1.0
MH065727	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter_887417; s__Pedobacter nototheniae	1.0
RS-GCF-018424785.1-NZ-JAATKH010000175.1	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Fannyhessea; s__Fannyhessea vaginae	1.0
MJ030-1-barcode26-umi99870bins-ubs-3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A_858004; s__	1.0
RS-GCF-006151805.1-NZ-VDDA01000097.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium terricola	1.0
JN615438	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Williamsia_A; s__Williamsia_A aurantiaca	1.0
GB-GCA-902805735.1-CADCTW010000080.1	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__Longimicrobiaceae; g__Longimicrobium; s__Longimicrobium terrae	1.0
RS-GCF-017742835.1-NZ-CP072392.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Xanthobacteraceae_503485; g__Aquabacter; s__Aquabacter cavernae	1.0
G001945525	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Ileibacterium; s__Ileibacterium valens	1.0
G001274535	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales_993777; f__Leptotrichiaceae; g__Leptotrichia_A_993641; s__Leptotrichia_A sp001274535	1.0
GB-GCA-005502595.1-SCOF01000066.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas; s__	1.0
MJ032-2-barcode68-umi69249bins-ubs-7	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus rodentium	1.0
MJ020-1-barcode44-umi513bins-ubs-408	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lutisporales; f__Lutisporaceae; g__Lutispora; s__Lutispora thermophila	1.0
RS-GCF-015140235.1-NZ-AP023321.1--2	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Solibaculum; s__Solibaculum mannosilyticum	1.0
AY228479	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Yaniella; s__Yaniella halotolerans	1.0
